Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
F01,Absolute Quantification,ABS,6.3,Unknown,,OK,2555,ddPCR Supermix for Probes (no dUTP),,,,,,16984,2184,,,,,,19168,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
F02,Absolute Quantification,ABS,6.4,Unknown,,OK,583,ddPCR Supermix for Probes (no dUTP),,,,,,8395,13102,,,,,,21497,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
G01,Absolute Quantification,ABS,7.3,Unknown,,OK,1317,ddPCR Supermix for Probes (no dUTP),,,,,,12949,6280,,,,,,19229,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
G02,Absolute Quantification,ABS,7.4,Unknown,,OK,297,ddPCR Supermix for Probes (no dUTP),,,,,,4687,16298,,,,,,20985,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H01,Absolute Quantification,ABS,8.3,Unknown,,OK,411,ddPCR Supermix for Probes (no dUTP),,,,,,6182,14803,,,,,,20985,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H02,Absolute Quantification,ABS,8.4,Unknown,,OK,97.1,ddPCR Supermix for Probes (no dUTP),,,,,,1708,19856,,,,,,21564,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
A03,Absolute Quantification,ABS,9.3,Unknown,,OK,237,ddPCR Supermix for Probes (no dUTP),,,,,,3883,17399,,,,,,21282,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
A04,Absolute Quantification,ABS,9.4,Unknown,,OK,53.7,ddPCR Supermix for Probes (no dUTP),,,,,,1017,21792,,,,,,22809,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B03,Absolute Quantification,ABS,10.3,Unknown,,OK,89.3,ddPCR Supermix for Probes (no dUTP),,,,,,1644,20845,,,,,,22489,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B04,Absolute Quantification,ABS,10.4,Unknown,,OK,19.1,ddPCR Supermix for Probes (no dUTP),,,,,,368,22468,,,,,,22836,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
